8イテレーションで収束しました
703.734
11,20,65
19,15,60
62,24,58
10,30,60
90,31,67
32,35,69
70,37,56
30,40,60
20,45,65
66,49,73
65,62,77
71,57,68
35,63,65
9,55,60
51,49,58
33,53,52
81,55,54
34,65,55
78,61,52
79,57,48
3,55,45
29,64,42
24,65,35
68,56,39
80,56,37
12,50,35
77,53,43
76,49,42
50,47,47
1,41,49
69,37,47
27,35,40
28,41,37
101,35,35
89,26,35
6,25,30
94,26,27
95,25,24
97,25,21
92,22,22
59,21,24
96,22,27
99,20,26
93,18,24
85,16,22
91,15,19
98,19,21
37,20,20
100,18,18
44,11,14
14,15,10
42,24,12
87,28,18
57,32,12
2,35,17
73,44,17
72,47,16
21,45,20
40,40,25
53,37,31
13,30,25
58,36,26
26,45,30
54,57,29
55,63,23
25,65,20
4,55,20
56,53,12
39,60,12
67,67,5
23,55,5
75,49,11
74,46,13
22,45,10
41,42,7
15,30,5
43,23,3
38,5,5
86,4,18
16,10,20
61,12,24
5,15,30
84,11,31
17,5,30
45,6,38
82,15,47
48,13,52
7,20,50
88,26,52
31,31,52
52,27,43
18,20,40
60,17,34
83,14,37
8,10,43
46,2,48
47,8,56
36,2,60
49,6,68
64,15,77
63,27,69
